COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
1,dharma pal,2015-05-29T02:30:18.971000,yes it does this song sucks,0
2,Tiza Arellano,2015-05-29T00:14:48.748000,sdasdadd,1
3,Prìñçeśś Âliś Łøvê Dømíñø Mâđiś™ ﻿,2015-05-28T21:00:08.607000,That;s like saying Pop and Rock should stay separated.,0
4,Eric Gonzalez,2015-05-28T20:47:12.193000,girl shut up,0
5,Analena López,2015-05-28T17:08:29.827000,yo mom gay,0
6,jehoiada wellington,2015-05-28T17:06:37.288000,Things get better as you get stronger kid. Hang in there.,0
7,Kara Cuthbertson,2015-05-28T15:46:42.482000,I too was depressed but listening to this song I gained a six pack hella bitches a six inch shlong and won the lottery this song helped me through tuff times 🙏😌,0
8,Sudheer Yadav,2015-05-28T10:28:25.133000,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1
9,Alex John,2015-05-28T07:44:52.614000,this song won&#39;t leave my mind 💨,0
10,Nirab Valobasha,2015-05-27T21:31:38.388000,"damn, this is 4 years old",0
11,Chelsea Andrews,2015-05-27T20:43:10.162000,U just heard it yesterday god dame,0
12,Kevin Sosa,2015-05-27T20:04:41.308000,Wake up bold man,0
13,OldSchool Music,2015-05-27T19:00:57.936000,This good in 2019 though,0
14,Stephen Lister,2015-05-27T16:04:42.059000,Wake Up To reality Bro 😂,0
15,Karolína Hlavatá,2015-05-27T14:41:43.081000,Your sick man,0
16,DubCedSky,2015-05-27T13:51:19.674000,Hahahaha you is Smooth  criminal,0
17,akita hachiko,2015-05-27T13:07:33.766000,When I was a fun but not forced guy I miss the old nas x 😢,0
18,Benjy Growls,2015-05-27T09:27:26.667000,Imagine getting offended 😅😂,0
19,monkey moments,2015-05-27T09:24:10.239000,@Zeldris Oh No i Said Fricking! And? That doesent Change the Fucking Fakt That believing in Religion is Stupid AF,0
20,Dr.geetanjali sharma,2015-05-27T09:14:14.641000,@Second Worst Cipher PlayerNigga you said “fricking” pipe down little timmy,0
21,Axy665,2015-05-27T06:57:11.853000,"You&#39;re a fricking Joke, imagine still believing in religion in 2023",0
22,celma joao tomas anacuja anacuja celma joao tomas,2015-05-27T06:30:54.415000,Wtf my ass,0
23,Raafat saeed,2015-05-27T04:19:29.178000,U  8idddrrrtt        uuusww    yyyyyg🎉🎉luuý66yyyyyyhg<br>Bull,1
24,ortiz brown,2015-05-27T02:51:25.515000,i think you will like my new song,1
25,mike the greek gamer,2015-05-26T21:42:43.953000,"same here , i think you will like my new song",1
26,Aveonne Walker,2015-05-26T21:36:16.925000,What happened? I don&#39;t know anything about him but this song.,0
27,MikeTheOne42,2015-05-26T17:19:16.527000,4 years later and still great,0
28,Golden Lion,2015-05-26T17:16:06.269000,توبوا الى الله لأن بالصلاح والاسلام تحيا النفوس والقلوب*--*----<br> Repent to Allah in Islam because by Islam live the hearts  and the souls,1
29,Coc Chitthu,2015-05-26T16:45:32.708000,Yes,0
30,vuong quang,2015-05-26T14:53:14.277000,Bro I loved this in 2019 it was my childhood song I still love it too this day,0
31,Ryan Ramma,2015-05-26T14:39:51.793000,good old days,0
32,Terry Short,2015-05-26T14:33:52.496000,Me,0
33,marko kacar,2015-05-26T09:54:10.695000,Feeling bad for you,0
34,ovidiu mitricioiu,2015-05-26T08:11:50.918000,So sad,0
35,Agung Handono Susilo,2015-05-26T03:34:08.887000,"Honestly, probably best to save that prayer for yourself and people in your life who matter to you, such as friends and family. No point in praying for a random celebrity you&#39;ve never met, don&#39;t know, and doesn&#39;t know you. Just my opinion tho 🤷",0
36,Nimesh Nambiar,2015-05-26T03:17:53.672000,This is actually nostalgic,0
37,‫حلم الشباب‬‎,2015-05-25T23:42:49.533000,@turquoria vamper right right right shut up mate,0
38,Zcoria Kelly,2015-05-25T22:43:48.266000,Fr,0
39,Spider Girl,2015-05-25T21:31:01.689000,righttt girl right,0
40,Ernest Foli,2015-05-25T21:08:10.798000,Merci beaucoup,0
41,Laura Gray,2015-05-25T19:56:09.670000,Grow up,0
42,Trygve Nilsen,2015-05-25T19:48:16.265000,holiday goes crazy onb,0
43,Сергей Андреевич,2015-05-25T18:00:22.486000,@Chris Zaun I’m 15 cuh,0
44,adey lanre,2015-05-25T16:39:15.791000,"You have nostalgia from 4 years ago,are you 11 years old",0
45,bossdon redhouse,2015-05-25T15:53:41.740000,Can&#39;t nobody tell me nothing- Lil Nax X,0
46,Eidya Pal,2015-05-25T14:43:55.353000,@Lovely Lime this video is already very gay,0
47,Ed Garcon,2015-05-25T14:05:41.188000,Girl this video is already camp,0
48,rachel perez,2015-05-25T14:05:18.188000,Agreed,0
49,Ibtihal Baho,2015-05-25T11:21:16.857000,Slay,0
50,Viv Varghese,2015-05-25T08:59:50.837000,"yes, why does no one speack aout that ? nice russian comment btw",0
51,Thiago Andrade,2015-05-25T08:08:49.121000,Yup,0
52,Abdullah Fawzi,2015-05-25T06:25:22.319000,Foot rust,0
53,Abdullah Fawzi,2015-05-25T06:23:24.405000,yk piano dude,0
54,Nash Alema,2015-05-25T03:09:41.790000,I got it from Pacil,0
55,Russian soldier sniper,2015-05-25T02:38:54.495000,Hi bro,0
56,Toby Bywater,2015-05-25T01:47:45.053000,​@Chris CurryWhat did you pick up from the lyrics?,0
57,Mohammed Yousef,2015-05-24T22:42:30.198000,@Chris Curry okay fine,0
58,JH Simene,2015-05-24T22:24:17.416000,@FUBK -_- go ahead. I’d like to see how different it is from the American Lyrics,0
59,MmmHmmm,2015-05-24T20:38:33.832000,"@Chris Curry In the Brazilian language, this song was translated in a way and for Brazilians, its lyrics are very beautiful if you want, I&#39;ll send them here in the comments",0
60,Angelica Figueroa,2015-05-24T20:29:41.546000,You ever REALLY pay attention to the lyrics of this song?,0
61,Syed Akbar Ali,2015-05-24T19:33:39.585000,Aujourd’hui il à bien changé en 3-4 ans,0
62,Oreoluwa Ajjayi,2015-05-24T16:05:33.401000,hijj,1
63,Eric Gonzalez,2015-05-24T15:35:03.844000,Song is too good,0
64,‫كيكه وستايلي فيكه كيكه وستايلي فيكه‬‎,2015-05-24T14:57:52.858000,Old town,0
65,Tierra Carbon,2015-05-24T14:21:54.411000,Doesn&#39;t take a lot of talent to just use the music created by actual talented artists such as Trent Reznor.,0
66,Lala Ella,2015-05-24T14:16:59.411000,@Danika HoweDante that’s too political,0
67,Alexander Solli,2015-05-24T12:32:18.770000,Captain America and the Caribbean,0
68,Arvind Pandey,2015-05-24T11:55:30.385000,Nada and then I will get there and I’ll 🎉❤ I’ll let them you out there in,0
69,Abdou Abdou,2015-05-24T10:01:03.912000,Same,0
70,MOHAMED THASLEEM,2015-05-24T07:03:59.488000,Do you live in maine?,0
71,Haolin Tan,2015-05-24T03:55:10.367000,"U should not listen to the songs of this guy ,cus some of his songs are really demonic and goes against God in all ways",0
72,Lupitaochoa Dieciseis,2015-05-24T03:02:38.357000,"John 3:16 &quot;For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.&quot; Christ is the only eat to the heaven.God bless you have a nice day",0
73,Carmen W,2015-05-24T01:36:23.815000,@Matt Green Prolly cuz ain&#39;t no way this video has all authentic views and no one even thinks about that lowkey 💀,0
74,Hamilton44,2015-05-23T22:08:55.169000,Was this comment left by ai,0
75,Leedl bagginshield,2015-05-23T21:27:36.596000,Listening in 2023 🔥,0
76,Athena Gomez,2015-05-23T20:45:58.511000,"@Schrödinger&#39;s Kat criticizes that black for using a horse, that is, his superior",0
77,Athena Gomez,2015-05-23T20:44:51.396000,"Yes, Thanks god",0
78,Anastasia Trevla,2015-05-23T18:35:07.666000,Was it supposed to be homophobic ???,0
79,Jessica Onyekwere,2015-05-23T17:42:14.383000,@Coffee Imma live for 150 years and take ma horse to the old town road,0
80,GamingWith Kim,2015-05-23T17:40:19.322000,"You&#39;ll be dead, so nah",0
81,Raphael Lipusch,2015-05-23T17:07:04.122000,pensei que ele tinha morrido,0
82,rtfamily,2015-05-23T16:45:03.492000,He gae,0
83,KAM IL,2015-05-23T16:06:50.834000,@Buddy wdym?,0
84,Madalynn Miller,2015-05-23T12:51:30.214000,Before his gay devil stuff,0
85,ashwini praveena,2015-05-23T12:47:50.445000,Liar.,0
86,Karol Martinez Restrepo Martinez,2015-05-23T12:16:41.723000,Freddie Mercury was too,0
