Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,Text
1,0.0,1.0,0.0,0.0,0.16469839215278625,0.7077895402908325,0.12751203775405884,old tau roud
2,0.0,0.0,1.0,0.4404,0.060793437063694,0.3294278681278229,0.609778642654419,Good
3,0.0,1.0,0.0,0.0,0.4006783068180084,0.5609534978866577,0.03836815431714058,โย่วววว
4,0.0,1.0,0.0,0.0,0.011753970757126808,0.11723728477954865,0.8710087537765503,Dude you nailed it 🤠🔥
5,0.0,0.911,0.089,0.4824,0.09088198840618134,0.8450490832328796,0.06406885385513306,DENIEL JETDIEL QUE ES EL KFC Y QUE SE ES MUY DE EN QUE Y VA DE A QUE Y EL LO 🚸 DE LA MI EL LA MÁS TIENE GUSTO HA EL LA DEL DE DEL Jetdiel
6,0.0,1.0,0.0,0.0,0.2588919699192047,0.538476824760437,0.20263127982616425,Vdd
7,0.0,1.0,0.0,0.0,0.10602238774299622,0.7866573333740234,0.10732018947601318,​@Zoel BananaL
8,0.272,0.435,0.293,0.0516,0.9751377701759338,0.02158910036087036,0.00327317020855844,yes it does this song sucks
9,0.0,0.0,1.0,0.4215,0.11566133052110672,0.43533647060394287,0.4490021765232086,Lol
10,0.0,1.0,0.0,0.0,0.23109667003154755,0.6334822177886963,0.13542112708091736,sdasdadd
11,0.0,1.0,0.0,0.0,0.0014890090096741915,0.044948358088731766,0.9535626769065857,🎉🎉🎉🎉🎉🎉
12,0.0,1.0,0.0,0.0,0.1936390995979309,0.5857070684432983,0.22065384685993195,IIIIII
13,0.0,0.762,0.238,0.3612,0.48288264870643616,0.49207425117492676,0.025043049827218056,That&#39;s like saying Pop and Rock should stay separated.
14,0.0,1.0,0.0,0.0,0.7187359929084778,0.2379954755306244,0.04326850175857544,girl shut up
15,0.159,0.366,0.476,0.5574,0.1824369579553604,0.6224709749221802,0.19509202241897583,It ain’t that serious lmao
16,0.0,1.0,0.0,0.0,0.0689636766910553,0.6575649976730347,0.2734713554382324,@Edgemax_62 😂😂
17,0.0,1.0,0.0,0.0,0.017309680581092834,0.3975212275981903,0.5851690769195557,I was searching this comment😂💪🏻
18,0.0,0.13,0.87,0.7717,0.002026829170063138,0.0127631900832057,0.9852100014686584,Happy birthday :)
19,0.0,1.0,0.0,0.0,0.19194082915782928,0.7179959416389465,0.09006328135728836,Warra question
20,0.0,1.0,0.0,0.0,0.6768646240234375,0.2951606810092926,0.027974706143140793,Bro wasn’t livin the 2019 era
