category,channel,video_url,video_id
Automobiles,https://www.youtube.com/@SupercarBlondie,https://www.youtube.com/watch?v=ZzWimhHches,ZzWimhHches
Automobiles,https://www.youtube.com/@SupercarBlondie,https://www.youtube.com/watch?v=11m_OVKDHs4,11m_OVKDHs4
Automobiles,https://www.youtube.com/@SupercarBlondie,https://www.youtube.com/watch?v=gVXJl_M1yfw,gVXJl_M1yfw
Automobiles,https://www.youtube.com/@chrisfix,https://www.youtube.com/watch?v=PRSoRkM8GcM,PRSoRkM8GcM
Automobiles,https://www.youtube.com/@chrisfix,https://www.youtube.com/watch?v=UEJbKLZ7RmM,UEJbKLZ7RmM
Automobiles,https://www.youtube.com/@chrisfix,https://www.youtube.com/watch?v=uYRckB_g10I,uYRckB_g10I
Automobiles,https://www.youtube.com/@TopGear,https://www.youtube.com/watch?v=PrqYohBV58o,PrqYohBV58o
Automobiles,https://www.youtube.com/@TopGear,https://www.youtube.com/watch?v=cDoRmT0iRic,cDoRmT0iRic
Automobiles,https://www.youtube.com/@TopGear,https://www.youtube.com/watch?v=7NZ9X9A2efA,7NZ9X9A2efA
Comedy,https://www.youtube.com/@MrBean,https://www.youtube.com/watch?v=IYT2mqd2qY8,IYT2mqd2qY8
Comedy,https://www.youtube.com/@MrBean,https://www.youtube.com/watch?v=ZQryUvMpGk8,ZQryUvMpGk8
Comedy,https://www.youtube.com/@MrBean,https://www.youtube.com/watch?v=JYNyQcblzgI,JYNyQcblzgI
Comedy,https://www.youtube.com/@fallontonight,https://www.youtube.com/watch?v=DO9U_XxN-Kc,DO9U_XxN-Kc
Comedy,https://www.youtube.com/@fallontonight,https://www.youtube.com/watch?v=cLmCJKT5ssw,cLmCJKT5ssw
Comedy,https://www.youtube.com/@fallontonight,https://www.youtube.com/watch?v=QhJIA8moL5s,QhJIA8moL5s
Comedy,https://www.youtube.com/@JimmyKimmelLive,https://www.youtube.com/watch?v=i4H2JHp5XOQ,i4H2JHp5XOQ
Comedy,https://www.youtube.com/@JimmyKimmelLive,https://www.youtube.com/watch?v=5ljluGA4dQU,5ljluGA4dQU
Comedy,https://www.youtube.com/@JimmyKimmelLive,https://www.youtube.com/watch?v=2nyCpVDbhGY,2nyCpVDbhGY
Entertainment,https://www.youtube.com/@MrBeast,https://www.youtube.com/watch?v=TJ2ifmkGGus,TJ2ifmkGGus
Entertainment,https://www.youtube.com/@MrBeast,https://www.youtube.com/watch?v=0e3GPea1Tyg,0e3GPea1Tyg
Entertainment,https://www.youtube.com/@MrBeast,https://www.youtube.com/watch?v=zxYjTTXc-J8,zxYjTTXc-J8
Entertainment,https://www.youtube.com/@PewDiePie,https://www.youtube.com/watch?v=PHgc8Q6qTjc,PHgc8Q6qTjc
Entertainment,https://www.youtube.com/@PewDiePie,https://www.youtube.com/watch?v=6Dh-RL__uN4,6Dh-RL__uN4
